segment_no,segment_title_ar,segment_title_en,etimad_code,product_name_ar,product_name_en,product_desc_ar,product_desc_en,effective_date,notes,sector
9998,المستلزمات الطبية,Medical Supplies,1138,كيس جمع البول يثبت على الساق 500 ML,"BAG, URINE LEG 500ml",كيس جمع البول يثبت على الساق 500 ML,"BAG, URINE LEG 500ml",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1139,كيس جمع البول يثبت على الساق 800 ML,"BAG, URINE LEG 800ml",كيس جمع البول يثبت على الساق 800 ML,"BAG, URINE LEG 800ml",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1140,أنبوب موصل مقاس 120 سم للاستخدام المرة الواحدة ، معقم ,"connecting tube, high pressure 8.8 french, 120 cm, disposable, sterile",أنبوب موصل مقاس 120 سم للاستخدام المرة الواحدة ، معقم ,"connecting tube, high pressure 8.8 french, 120 cm, disposable, sterile",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1141,أنبوب موصل مقاس 180 سم للاستخدام المرة الواحدة ، معقم ,"connecting tube, high pressure 8.8 french, 180 cm, disposable, sterile",أنبوب موصل مقاس 180 سم للاستخدام المرة الواحدة ، معقم ,"connecting tube, high pressure 8.8 french, 180 cm, disposable, sterile",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1142,أنبوب قابل تمدد مقاس 15 cm للاستخدام المرة الواحدة ، معقم ,"extension, tubing, y, microbore, 15 cm,approximately, with needle free cap rigid t or j shape, disposable, sterile",أنبوب قابل تمدد مقاس 15 cm للاستخدام المرة الواحدة ، معقم ,"extension, tubing, y, microbore, 15 cm,approximately, with needle free cap rigid t or j shape, disposable, sterile",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1143,أنبوب موصل ، بلاستيك ، مستقيم ,"connector, tubing, plastic, straight ",أنبوب موصل ، بلاستيك ، مستقيم ,"connector, tubing, plastic, straight ",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1144,قفل لور,LUER LOCK,قفل لور,LUER LOCK,2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1145,مانوميتر ، أنبوب موصل ، 150 CM,"MANOMETER, CONNECTING TUBE, 150 CM",مانوميتر ، أنبوب موصل ، 150 CM,"MANOMETER, CONNECTING TUBE, 150 CM",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1146,طقم  فحوصات طبية وريدي 68 IN ،  أنبوب 15 ، قطرة 20 ، ابرة قابلة للتغير ،  للاستخدام المرة الواحدة ، معقم,"SET, ADMINISTRATION, INTRAVENOUS, 68 INCH, TUBING 15 / 20 DROPS / ML, NON VENTED, WITH NEEDLE ADAPTOR LUER LOCK, DISPOSABLE, STERILE",طقم  فحوصات طبية وريدي 68 IN ،  أنبوب 15 ، قطرة 20 ، ابرة قابلة للتغير ،  للاستخدام المرة الواحدة ، معقم,"SET, ADMINISTRATION, INTRAVENOUS, 68 INCH, TUBING 15 / 20 DROPS / ML, NON VENTED, WITH NEEDLE ADAPTOR LUER LOCK, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1147,طقم  فحوصات طبية  ،  حساس لضوء ، 250 CM للاستخدام المرة الواحدة ، معقم,"SET, ADMINISTRATION, ISL LIGHT-SENSITIVE, INFUSION SOLUTION OPAQUE, 250 CM, IT SHOULD BE COMPATIBLE WITH HOSPITAL MACHINE, DISPOSABLE, STERILE",طقم  فحوصات طبية  ،  حساس لضوء ، 250 CM للاستخدام المرة الواحدة ، معقم,"SET, ADMINISTRATION, ISL LIGHT-SENSITIVE, INFUSION SOLUTION OPAQUE, 250 CM, IT SHOULD BE COMPATIBLE WITH HOSPITAL MACHINE, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1148,طقم ، قابل لتمدد ، قفل لور ، 50 ML  ، للاستخدام المرة الواحدة ، معقم,"SET, EXTENSION, LUER LOCK, WITH 3 WAY STOPCOCK, 50 CM, DISPOSABLE, STERILE",طقم ، قابل لتمدد ، قفل لور ، 50 ML  ، للاستخدام المرة الواحدة ، معقم,"SET, EXTENSION, LUER LOCK, WITH 3 WAY STOPCOCK, 50 CM, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1149,كيس /علبة مدرج 100 ML ، فلتر ، 180-200 MICRO ،  للاستخدام المرة الواحدة ، معقم,"FREE, COMPLETE WITH 100 ML GRADUATED CHAMBER, WITH FILTER 180-200MICRON DISPOSABLE, STERILE",كيس /علبة مدرج 100 ML ، فلتر ، 180-200 MICRO ،  للاستخدام المرة الواحدة ، معقم,"FREE, COMPLETE WITH 100 ML GRADUATED CHAMBER, WITH FILTER 180-200MICRON DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1150,طقم فحوصات دم,"SET, FOR BLOOD ADMINISTRATIO",طقم فحوصات دم ، خال بيروجين مغلفة بشكل فردي للاستخدام المرة الواحدة ، معقم,"SET, FOR BLOOD ADMINISTRATION, PYROGEN FREE, SUITABLE FOR USE WITH BLOOD BAG, PACKING: EACH SET INDIVIDUALLY PACKED, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1151,طقم نقل الدم ,"SET, FOR BLOOD TRANSFUSION",طقم نقل الدم ,"SET, FOR BLOOD TRANSFUSION",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1152,طقم فحوصات وريدي 30 CM ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, 30 CM, WITH INTEGRATED 0.2 MICRON MEDICATION FILTER, LATEX FREE, NEEDLE FREE, NON DEHP SPLIT SEPTUM PORTS, STERILE, DISPOSABLE",طقم فحوصات وريدي 30 CM ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, 30 CM, WITH INTEGRATED 0.2 MICRON MEDICATION FILTER, LATEX FREE, NEEDLE FREE, NON DEHP SPLIT SEPTUM PORTS, STERILE, DISPOSABLE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1153,طقم فحوصات وريدي 30 CM ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, 30 CM, WITH INTEGRATED 1.2 MICRON LIPID COMPATIBLE FILTER, LATEX FREE, NEEDLE FREE NONDEHP SPLIT SEPTUM PORTS, STERILE, DISPOSABLE",طقم فحوصات وريدي 30 CM ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, 30 CM, WITH INTEGRATED 1.2 MICRON LIPID COMPATIBLE FILTER, LATEX FREE, NEEDLE FREE NONDEHP SPLIT SEPTUM PORTS, STERILE, DISPOSABLE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1154,طقم فحوصات وريدي للأدوية الثانوية ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, SECONDARY MEDICATION LINE, LATEX FREE, NEEDLE FREE, NON DEHP SPLIT SEPTUM PORTS, DISPOSABLE, STERILE",طقم فحوصات وريدي للأدوية الثانوية ، فلتر ، خال من لاكتس  ، خال من الابر   للاستخدام المرة الواحدة ، معقم,"SET, IV EXTENSION, SECONDARY MEDICATION LINE, LATEX FREE, NEEDLE FREE, NON DEHP SPLIT SEPTUM PORTS, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1155,طقم فحوصات وريدي ، خال بروجين ،  فلتر ,"SET, IV SOLUTION ADMINISTRATION PVC, MACRODRIP 20 DROPS / 1 ML, PYROGEN FREE HYDROPHOBIC ADEQUATE AIR VENT, FILTER 15 MICRON, FLOW CONTRO L ROLLER CLAMP, TUBING NOT LESS THAN 1.8 METER AND DIAMETER I.D 3MM AND O.D 4.1 MM, FITTED WITH NEEDLE G21 TO LUER LOCK DEVICE FOR INJECTION OF DRUGS WITH Y-INJECTION SITE PORT, WITH PEAL OFF PACKING, DISPOSABLE, STERILE",طقم فحوصات وريدي ، خال بروجين ،  فلتر ,"SET, IV SOLUTION ADMINISTRATION PVC, MACRODRIP 20 DROPS / 1 ML, PYROGEN FREE HYDROPHOBIC ADEQUATE AIR VENT, FILTER 15 MICRON, FLOW CONTRO L ROLLER CLAMP, TUBING NOT LESS THAN 1.8 METER AND DIAMETER I.D 3MM AND O.D 4.1 MM, FITTED WITH NEEDLE G21 TO LUER LOCK DEVICE FOR INJECTION OF DRUGS WITH Y-INJECTION SITE PORT, WITH PEAL OFF PACKING, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1156,طقم فحوصات وريدي 100 ML ، خال من بروجين قفل لور  للاستخدام المرة الواحدة ، معقم,"SET, IV SOLUTION ADMINISTRATION PVC, MICRODRIP, PYROGEN FREE WITH SAFETY VALVE AND 100 ML MEASURING CHAMBER, LUER LOCK DEVICE, FOR INJECTION OF DRUGS, DISPOSABLE, STERILE",طقم فحوصات وريدي 100 ML ، خال من بروجين قفل لور  للاستخدام المرة الواحدة ، معقم,"SET, IV SOLUTION ADMINISTRATION PVC, MICRODRIP, PYROGEN FREE WITH SAFETY VALVE AND 100 ML MEASURING CHAMBER, LUER LOCK DEVICE, FOR INJECTION OF DRUGS, DISPOSABLE, STERILE",2023-04-01,,المستلزمات الطبية
